index,count,count_CCR,count_cys,shape_kid,shape_CCR,shape_cys,lumi_mean,lumi_std,lumi_max,lumi_min,lumi_mean_SE2_CCR,lumi_std_SE2_CCR,lumi_max_SE2_CCR,lumi_min_SE2_CCR,lumi_mean_SE2_cys,lumi_std_SE2_cys,lumi_max_SE2_cys,lumi_min_SE2_cys,lumi_mean_SE3_kid,lumi_std_SE3_kid,lumi_max_SE3_kid,lumi_min_SE3_kid,lumi_mean_SE3_CCR,lumi_std_SE3_CCR,lumi_max_SE3_CCR,lumi_min_SE3_CCR,lumi_mean_SE3_cys,lumi_std_SE3_cys,lumi_max_SE3_cys,lumi_min_SE3_cys
33,346307,2495.0,,56,11,0,101.82845567661064,63.83586231262592,362,-148,79.0120240480962,31.751651775811723,179.0,-48.0,,,,,170.51129,71.19923,294.1405,-292.98517000000004,100.97706,41.939037,225.1399,-49.456482,,,,
34,1039880,247135.0,,96,56,0,90.69043254990959,52.475395289920435,312,-144,60.365213344932926,34.07666501620674,283.0,-113.0,,,,,107.67818999999999,47.232525,224.67346,-112.456055,66.68987,25.905174,162.10522,-87.116516,,,,
35,529584,,171.0,90,0,5,106.93234501042328,58.30083075763422,1112,-140,,,,,68.73099415204679,50.46807952615639,178.0,-9.0,156.62791,51.642593,673.93445,-126.84783999999999,,,,,115.342606,52.80293,184.28601,10.178223
36,342846,,318.0,71,0,3,145.80602952929303,115.60039628546689,361,-164,,,,,60.83647798742138,73.83977846115812,296.0,-91.0,122.13752,75.8717,257.4713,-132.64722,,,,,39.51923,52.096911999999996,166.42273,-88.691956
37,365767,4566.0,16.0,87,12,3,101.0875694089407,56.85472798160741,345,-337,86.02014892685064,29.81120381000341,179.0,-102.0,113.5,14.370107863199914,143.0,86.0,140.66849,48.519546999999996,235.68945,-296.3058,125.57927,21.24775,195.5951,20.29309,159.3562,17.494242,179.7157,120.08483999999999
38,492493,43810.0,,76,29,0,112.13174806545473,69.15379846512897,363,-162,128.38404473864415,45.615938221655256,306.0,-56.0,,,,,123.510994,58.80693,251.40283,-134.34015,90.88332,26.344303000000004,188.73486,-29.55658,,,,
39,434513,42137.0,198.0,72,20,3,128.39829648364952,65.55735409776547,293,-363,125.34693974416784,61.69850742786417,276.0,-57.0,150.0909090909091,53.03612089298739,229.0,40.0,134.87999,42.64158,201.99487,-248.77832,114.53053,33.4044,184.97974,-50.789609999999996,162.42108000000002,17.658382,194.26953,114.48620600000001
40,503748,119081.0,236.0,67,46,4,77.6069602261448,32.329636743766216,225,-777,79.49373955542866,31.652900777300964,225.0,-95.0,25.1228813559322,19.585042333965266,88.0,-7.0,101.33079000000001,38.324944,203.46875,-738.0964,72.53492,19.200537,160.58765,-69.97089,54.622344999999996,32.370495,154.78528,3.067627
41,457291,91198.0,,86,37,0,74.78404342092891,52.788321714215314,326,-157,77.07031952455098,44.18930387643379,241.0,-121.0,,,,,98.62614,54.253014,217.69165,-136.76793999999998,66.190735,28.662155,162.32385,-106.93866000000001,,,,
44,473075,119507.0,,61,40,0,159.07068858003487,90.18781702773191,372,-168,159.04897621059854,57.23971144328998,372.0,-79.0,,,,,110.18568400000001,60.304283,248.84521,-249.1048,89.93800999999999,24.349577,193.27527,-77.81195,,,,
45,489604,68063.0,290.0,78,28,7,177.13897762273186,96.23714795202345,376,-175,198.3690698323612,62.31147090638813,360.0,-120.0,144.7,81.15704019007713,300.0,-33.0,154.39473,66.7099,263.95178,-135.10565,139.06384,34.085426,232.65356,-80.73193,157.33601000000002,43.360867,250.85669,40.59485
46,425192,48616.0,,64,23,0,124.84672571450076,88.00683758057785,306,-223,125.10083100213923,44.517187517850864,258.0,-101.0,,,,,128.43056,74.169685,262.03857,-127.42981,93.922905,28.181746,194.53735,-79.86377,,,,
47,547062,177968.0,58689.0,53,37,38,89.55697343262739,88.2220909174463,403,-225,130.327025083161,67.89549027168316,369.0,-102.0,11.930787711496194,22.32717017214514,227.0,-127.0,72.58874,64.89186,216.52405,-230.54308999999998,89.04603,36.700996,215.39612000000002,-81.417114,11.780151,17.282564,172.86365,-104.63318000000001
51,387969,73960.0,,56,30,0,128.587912951808,91.21920125603313,388,-147,52.1191590048675,29.46379580099687,324.0,-80.0,,,,,128.47281999999998,75.90541999999999,358.90198,-123.55408,52.422737,27.199718,219.51538,-92.14349,,,,
53,363764,4088.0,140.0,54,10,8,156.3215683794988,92.91652576901815,366,-529,189.2037671232877,47.92668401426603,298.0,0.0,166.64285714285714,64.06827512545519,272.0,21.0,156.54655,77.94206,294.10486000000003,-485.45807,171.2987,26.980652000000003,242.98816000000002,-2.2754517000000005,171.27522,61.285015,231.07031,-62.360535
